service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude,Group_store,Area
6867086828130189483,663270082052585256,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Sư Vạn Hạnh,"748 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.668293,10.774617999999998,Toocha,South
6867086828130189483,3190495409801994515,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 207 Đường 30 tháng 4,"207 Đường 30 tháng 4, Phường Xuận Khánh, Quận Ninh Kiều, Cần Thơ, VIỆT NAM",105.7759643,10.0260527,Toocha,South
6867086828130189483,5756515464507111107,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Phan Xích Long,"328-330  Phan Xích Long, Phường 1, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM",106.687828,10.798712,Toocha,South
6867086828130189483,7783636059774776376,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Hà Huy Giáp ,"166  Hà Huy Giáp , Phường Bình Đa, Thành phố Biên Hòa, Đồng Nai, VIỆT NAM",106.82258600000002,10.948761,Toocha,South
6867086828130189483,5064981124380272707,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 236K Lê Văn Sỹ,"236K Lê Văn Sỹ, Phường 1, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",106.666603,10.795758,Toocha,South
6867086828130189483,8680571847188326865,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Hồ Tùng Mậu,"53   Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.703796,10.771572,Toocha,South
6867086828130189483,8816686512264130232,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha An Dương Vương,"477   An Dương Vương, Phường 3, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM",106.675913,10.758061,Toocha,South
6867086828130189483,903890117117317600,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 190 Võ Văn Ngân,"190 Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức, Thành Phố Hồ Chí Minh, VIỆT NAM",106.7599,10.8505002,Toocha,South
6867086828130189483,2677262856086004343,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 79 Nguyễn Văn Linh,"Số 79 Nguyễn Văn Linh, Phường Phước Ninh, Quận Hải Châu, Thành Phố Đà Nẵng, VIỆT NAM",108.21994840000002,16.0606862,Toocha,Middle
6867086828130189483,1276556862161112568,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",TOOCHA D2,"130 D2, Phường 25, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",106.716077,10.80654,Toocha,South
6867086828130189483,1910700718569827862,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Cộng Hòa ,"162-164 P12 Quận Tân Bình Cộng Hòa , Phường 12, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",106.65156100000002,10.801926,Toocha,South
3797980347767515401,6260615901693984510,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"08 Nhà Chung, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",105.849734,21.028387,Trung Nguyên Legend,North
3797980347767515401,913991820012541787,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"31-33  P.15	Tân Bình	HCM Phan Huy Ích, Phường 15, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6305397,10.8252321,Trung Nguyên Legend,South
